StudentID,Name,Gender,Department,Program,Year,Email,Phone,Attendance,PAN_CARD,AISHE_Code
LPU.1001,Harika Das,Female,M.Sc Data Science,PG,1,harika.das1001@lpu.edu.in,9880516031,68.21,FYVPD0001K,U-0379
LPU.1002,Vinay Gupta,Male,M.Sc Data Science,PG,1,vinay.gupta1002@lpu.edu.in,9884898522,92.85,PRLPG0002O,U-0379
LPU.1003,Vikram Verma,Female,M.Sc Data Science,PG,1,vikram.verma1003@lpu.edu.in,9858402591,86.58,XLCPV0003I,U-0379
LPU.1004,Rahul Bose,Female,M.Sc Data Science,PG,1,rahul.bose1004@lpu.edu.in,9865063492,69.73,ERVPB0004U,U-0379
LPU.1005,Vinay Sharma,Female,M.Sc Data Science,PG,1,vinay.sharma1005@lpu.edu.in,9877312184,63.67,VQKPS0005W,U-0379
LPU.1006,Neha Iyer,Male,M.Sc Data Science,PG,1,neha.iyer1006@lpu.edu.in,9848603601,91.89,JRZPI0006C,U-0379
LPU.1007,Harika Mishra,Female,M.Sc Data Science,PG,1,harika.mishra1007@lpu.edu.in,9861444429,92.12,CCEPM0007Q,U-0379
LPU.1008,Sanjay Das,Female,M.Sc Data Science,PG,1,sanjay.das1008@lpu.edu.in,9856019566,73.54,QHXPD0008V,U-0379
LPU.1009,Divya Jain,Male,M.Sc Data Science,PG,1,divya.jain1009@lpu.edu.in,9812418883,87.47,REPPJ0009T,U-0379
LPU.1010,Sameer Reddy,Male,M.Sc Data Science,PG,1,sameer.reddy1010@lpu.edu.in,9861519012,81.86,BSOPR0010V,U-0379
LPU.1011,Sneha Mishra,Male,M.Sc Data Science,PG,1,sneha.mishra1011@lpu.edu.in,9870876988,62.66,UAXPM0011J,U-0379
LPU.1012,Neha Bose,Male,M.Sc Data Science,PG,1,neha.bose1012@lpu.edu.in,9816285043,79.88,RLMPB0012M,U-0379
LPU.1013,Ritika Gupta,Male,M.Sc Data Science,PG,1,ritika.gupta1013@lpu.edu.in,9894311229,78.23,GCGPG0013N,U-0379
LPU.1014,Sanjay Malhotra,Male,M.Sc Data Science,PG,1,sanjay.malhotra1014@lpu.edu.in,9844437309,93.01,GSHPM0014Q,U-0379
LPU.1015,Divya Kumar,Male,M.Sc Data Science,PG,1,divya.kumar1015@lpu.edu.in,9891832076,78.89,BZZPK0015D,U-0379
LPU.1016,Ananya Yadav,Male,M.Sc Data Science,PG,1,ananya.yadav1016@lpu.edu.in,9810433603,89.17,YZZPY0016T,U-0379
LPU.1017,Pooja Malhotra,Male,M.Sc Data Science,PG,1,pooja.malhotra1017@lpu.edu.in,9869598157,70.9,RUPPM0017D,U-0379
LPU.1018,Divya Das,Female,M.Sc Data Science,PG,1,divya.das1018@lpu.edu.in,9862810336,71.76,BKRPD0018H,U-0379
LPU.1019,Ravi Rao,Male,M.Sc Data Science,PG,1,ravi.rao1019@lpu.edu.in,9831764048,89.39,BWTPR0019F,U-0379
LPU.1020,Rahul Patel,Male,M.Sc Data Science,PG,1,rahul.patel1020@lpu.edu.in,9870514631,68.87,XEUPP0020L,U-0379
LPU.1021,Yash Das,Female,M.Sc Data Science,PG,1,yash.das1021@lpu.edu.in,9812279609,84.87,TPXPD0021A,U-0379
LPU.1022,Vikram Iyer,Female,M.Sc Data Science,PG,1,vikram.iyer1022@lpu.edu.in,9883047741,96.23,SKNPI0022O,U-0379
LPU.1023,Rahul Rao,Female,M.Sc Data Science,PG,1,rahul.rao1023@lpu.edu.in,9874475336,74.6,UPRPR0023R,U-0379
LPU.1024,Rahul Shetty,Female,M.Sc Data Science,PG,1,rahul.shetty1024@lpu.edu.in,9820591218,63.17,KAUPS0024J,U-0379
LPU.1025,Divya Bose,Male,M.Sc Data Science,PG,1,divya.bose1025@lpu.edu.in,9853066465,79.15,TNTPB0025X,U-0379
LPU.1026,Meghana Bose,Female,M.Sc Data Science,PG,1,meghana.bose1026@lpu.edu.in,9899444537,97.51,IKSPB0026X,U-0379
LPU.1027,Arjun Kumar,Female,M.Sc Data Science,PG,1,arjun.kumar1027@lpu.edu.in,9818949202,84.39,XNIPK0027Q,U-0379
LPU.1028,Sneha Iyer,Male,M.Sc Data Science,PG,1,sneha.iyer1028@lpu.edu.in,9823276091,97.97,PJGPI0028Y,U-0379
LPU.1029,Divya Rao,Female,M.Sc Data Science,PG,1,divya.rao1029@lpu.edu.in,9843682151,89.87,RUYPR0029Q,U-0379
