StudentID,Name,Gender,Department,Program,Year,Email,Phone,Attendance,PAN_CARD,AISHE_Code
MBU00001,Harika Das,Female,M.Sc Data Science,PG,1,harika.das1001@mbu.edu.in,9880516031,94.81,AUZPD0001G,U-0188
MBU00002,Vinay Gupta,Male,M.Sc Data Science,PG,1,vinay.gupta1002@mbu.edu.in,9884898522,61.64,VDZPG0002D,U-0188
MBU00003,Vikram Verma,Female,M.Sc Data Science,PG,1,vikram.verma1003@mbu.edu.in,9858402591,86.49,OJNPV0003R,U-0188
MBU00004,Rahul Bose,Female,M.Sc Data Science,PG,1,rahul.bose1004@mbu.edu.in,9865063492,87.37,MXUPB0004Y,U-0188
MBU00005,Vinay Sharma,Female,M.Sc Data Science,PG,1,vinay.sharma1005@mbu.edu.in,9877312184,85.47,FQIPS0005E,U-0188
MBU00006,Neha Iyer,Male,M.Sc Data Science,PG,1,rashedshariff70@gmail.com,9848603601,99.0,RVWPI0006O,U-0188
MBU00007,Harika Mishra,Female,M.Sc Data Science,PG,1,harika.mishra1007@mbu.edu.in,9861444429,89.0,BQGPM0007T,U-0188
MBU00008,Sanjay Das,Female,M.Sc Data Science,PG,1,sanjay.das1008@mbu.edu.in,9856019566,76.73,NGRPD0008M,U-0188
MBU00009,Divya Jain,Male,M.Sc Data Science,PG,1,divya.jain1009@mbu.edu.in,9812418883,99.14,ZITPJ0009R,U-0188
MBU00010,Sameer Reddy,Male,M.Sc Data Science,PG,1,sameer.reddy1010@mbu.edu.in,9861519012,81.87,PRVPR0010N,U-0188
MBU00011,Sneha Mishra,Male,M.Sc Data Science,PG,1,sneha.mishra1011@mbu.edu.in,9870876988,80.83,ROSPM0011Y,U-0188
MBU00012,Neha Bose,Male,M.Sc Data Science,PG,1,neha.bose1012@mbu.edu.in,9816285043,85.0,SYHPB0012N,U-0188
MBU00013,Ritika Gupta,Male,M.Sc Data Science,PG,1,ritika.gupta1013@mbu.edu.in,9894311229,62.06,DFVPG0013Q,U-0188
MBU00014,Sanjay Malhotra,Male,M.Sc Data Science,PG,1,sanjay.malhotra1014@mbu.edu.in,9844437309,66.67,CJGPM0014K,U-0188
MBU00015,Divya Kumar,Male,M.Sc Data Science,PG,1,divya.kumar1015@mbu.edu.in,9891832076,62.63,MYCPK0015A,U-0188
MBU00016,Ananya Yadav,Male,M.Sc Data Science,PG,1,ananya.yadav1016@mbu.edu.in,9810433603,71.4,VHHPY0016L,U-0188
MBU00017,Pooja Malhotra,Male,M.Sc Data Science,PG,1,pooja.malhotra1017@mbu.edu.in,9869598157,84.43,EZJPM0017F,U-0188
MBU00018,Divya Das,Female,M.Sc Data Science,PG,1,divya.das1018@mbu.edu.in,9862810336,62.99,HQHPD0018M,U-0188
MBU00019,Ravi Rao,Male,M.Sc Data Science,PG,1,ravi.rao1019@mbu.edu.in,9831764048,68.94,RNOPR0019P,U-0188
MBU00020,Rahul Patel,Male,M.Sc Data Science,PG,1,rahul.patel1020@mbu.edu.in,9870514631,81.31,PZHPP0020G,U-0188
MBU00021,Yash Das,Female,M.Sc Data Science,PG,1,yash.das1021@mbu.edu.in,9812279609,78.24,IDFPD0021U,U-0188
MBU00022,Vikram Iyer,Female,M.Sc Data Science,PG,1,vikram.iyer1022@mbu.edu.in,9883047741,89.71,VMXPI0022Q,U-0188
MBU00023,Rahul Rao,Female,M.Sc Data Science,PG,1,rahul.rao1023@mbu.edu.in,9874475336,87.81,YCNPR0023H,U-0188
MBU00024,Rahul Shetty,Female,M.Sc Data Science,PG,1,rahul.shetty1024@mbu.edu.in,9820591218,94.91,MHXPS0024N,U-0188
MBU00025,Divya Bose,Male,M.Sc Data Science,PG,1,divya.bose1025@mbu.edu.in,9853066465,67.18,UUQPB0025Q,U-0188
MBU00026,Meghana Bose,Female,M.Sc Data Science,PG,1,meghana.bose1026@mbu.edu.in,9899444537,85.52,YETPB0026U,U-0188
MBU00027,Arjun Kumar,Female,M.Sc Data Science,PG,1,arjun.kumar1027@mbu.edu.in,9818949202,72.03,PIEPK0027A,U-0188
MBU00028,Sneha Iyer,Male,M.Sc Data Science,PG,1,sneha.iyer1028@mbu.edu.in,9823276091,80.53,MSUPI0028L,U-0188
MBU00029,Divya Rao,Female,M.Sc Data Science,PG,1,divya.rao1029@mbu.edu.in,9843682151,82.67,KTUPR0029N,U-0188
MBU00030,Sameer Jain,Female,M.Sc Data Science,PG,1,sameer.jain1030@mbu.edu.in,9813418059,72.63,KNNPJ0030K,U-0188
MBU00031,Ritika Bhat,Male,M.Sc Data Science,PG,1,ritika.bhat1031@mbu.edu.in,9832021203,63.79,LYCPB0031P,U-0188
MBU00032,Yash Kumar,Female,M.Sc Data Science,PG,1,yash.kumar1032@mbu.edu.in,9892172647,85.92,UYXPK0032O,U-0188
MBU00033,Nikhil Malhotra,Male,M.Sc Data Science,PG,1,nikhil.malhotra1033@mbu.edu.in,9892509994,61.83,GYFPM0033X,U-0188
