StudentID,Name,Gender,Department,Program,Year,Email,Phone,Attendance,PAN_CARD
KLU00001,Harika Das,Female,M.Sc Data Science,PG,1,harika.das9101@klu.edu.in,9880516031,95.22,EAFPD0001I
KLU00002,Vinay Gupta,Male,M.Sc Data Science,PG,1,vinay.gupta9102@klu.edu.in,9884898522,88.0,BYGPG0002S
KLU00003,Vikram Verma,Female,M.Sc Data Science,PG,1,vikram.verma9103@klu.edu.in,9858402591,81.18,OHNPV0003Q
KLU00004,Rahul Bose,Female,M.Sc Data Science,PG,1,rahul.bose9104@klu.edu.in,9865063492,78.08,TDQPB0004I
KLU00005,Vinay Sharma,Female,M.Sc Data Science,PG,1,vinay.sharma9105@klu.edu.in,9877312184,64.2,MAKPS0005Z
KLU00006,Neha Iyer,Male,M.Sc Data Science,PG,1,neha.iyer9106@klu.edu.in,9848603601,91.15,FVWPI0006M
KLU00007,Harika Mishra,Female,M.Sc Data Science,PG,1,harika.mishra9107@klu.edu.in,9861444429,90.23,EGOPM0007F
KLU00008,Sanjay Das,Female,M.Sc Data Science,PG,1,sanjay.das9108@klu.edu.in,9856019566,65.25,UZDPD0008S
KLU00009,Divya Jain,Male,M.Sc Data Science,PG,1,divya.jain9109@klu.edu.in,9812418883,72.53,FRGPJ0009Z
KLU00010,Sameer Reddy,Male,M.Sc Data Science,PG,1,sameer.reddy9110@klu.edu.in,9861519012,85.93,ANBPR0010I
KLU00011,Sneha Mishra,Male,M.Sc Data Science,PG,1,sneha.mishra9111@klu.edu.in,9870876988,73.89,SUXPM0011A
KLU00012,Neha Bose,Male,M.Sc Data Science,PG,1,neha.bose9112@klu.edu.in,9816285043,75.25,GBAPB0012U
KLU00013,Ritika Gupta,Male,M.Sc Data Science,PG,1,ritika.gupta9113@klu.edu.in,9894311229,80.76,AXRPG0013O
KLU00014,Sanjay Malhotra,Male,M.Sc Data Science,PG,1,sanjay.malhotra9114@klu.edu.in,9844437309,74.19,ZGRPM0014J
KLU00015,Divya Kumar,Male,M.Sc Data Science,PG,1,divya.kumar9115@klu.edu.in,9891832076,94.9,YUYPK0015I
KLU00016,Ananya Yadav,Male,M.Sc Data Science,PG,1,ananya.yadav9116@klu.edu.in,9810433603,86.56,OUDPY0016P
KLU00017,Pooja Malhotra,Male,M.Sc Data Science,PG,1,pooja.malhotra9117@klu.edu.in,9869598157,85.08,FJWPM0017O
KLU00018,Divya Das,Female,M.Sc Data Science,PG,1,divya.das9118@klu.edu.in,9862810336,90.64,BOZPD0018N
KLU00019,Ravi Rao,Male,M.Sc Data Science,PG,1,ravi.rao9119@klu.edu.in,9831764048,85.93,EHFPR0019G
KLU00020,Rahul Patel,Male,M.Sc Data Science,PG,1,rashedshariff70@gmail.com,9870514631,100.0,BVLPP0020Y
KLU00021,Yash Das,Female,M.Sc Data Science,PG,1,yash.das9121@klu.edu.in,9812279609,45.0,FWZPD0021W
KLU00022,Vikram Iyer,Female,M.Sc Data Science,PG,1,vikram.iyer9122@klu.edu.in,9883047741,81.87,UUTPI0022R
KLU00023,Rahul Rao,Female,M.Sc Data Science,PG,1,rahul.rao9123@klu.edu.in,9874475336,98.23,QVMPR0023Q
KLU00024,Rahul Shetty,Female,M.Sc Data Science,PG,1,rahul.shetty9124@klu.edu.in,9820591218,81.63,PSUPS0024H
KLU00025,Divya Bose,Male,M.Sc Data Science,PG,1,divya.bose9125@klu.edu.in,9853066465,97.89,IHVPB0025B
KLU00026,Meghana Bose,Female,M.Sc Data Science,PG,1,meghana.bose9126@klu.edu.in,9899444537,95.44,FTTPB0026S
KLU00027,Arjun Kumar,Female,M.Sc Data Science,PG,1,arjun.kumar9127@klu.edu.in,9818949202,68.38,COGPK0027S
KLU00028,Sneha Iyer,Male,M.Sc Data Science,PG,1,brfloydraiss@gmail.com,9823276091,85.0,HYRPI0028Y
KLU00029,Divya Rao,Female,M.Sc Data Science,PG,1,divya.rao9129@klu.edu.in,9843682151,96.29,MZTPR0029W
KLU00030,Sameer Jain,Female,M.Sc Data Science,PG,1,sameer.jain9130@klu.edu.in,9813418059,93.87,PDTPJ0030Z
KLU00031,Ritika Bhat,Male,M.Sc Data Science,PG,1,ritika.bhat9131@klu.edu.in,9832021203,93.84,HZPPB0031J
KLU00032,Yash Kumar,Female,M.Sc Data Science,PG,1,yash.kumar9132@klu.edu.in,9892172647,67.41,IDIPK0032H
KLU00033,Nikhil Malhotra,Male,M.Sc Data Science,PG,1,nikhil.malhotra9133@klu.edu.in,9892509994,88.03,JUNPM0033I
KLU00034,Yash Nair,Female,M.Sc Data Science,PG,1,yash.nair9134@klu.edu.in,9858038373,82.01,NOTPN0034F
KLU00035,Yash Reddy,Male,M.Sc Data Science,PG,1,yash.reddy9135@klu.edu.in,9843328819,74.68,CHCPR0035U
KLU00036,Kiran Kumar,Female,M.Sc Data Science,PG,1,kiran.kumar9136@klu.edu.in,9836312700,77.68,RKDPK0036F
KLU00037,Ravi Mishra,Female,M.Sc Data Science,PG,1,ravi.mishra9137@klu.edu.in,9840191171,62.11,DJWPM0037F
KLU00038,Harika Das,Female,M.Sc Data Science,PG,1,harika.das9138@klu.edu.in,9845199125,90.98,KMMPD0038T
KLU00039,Divya Patel,Male,M.Sc Data Science,PG,1,divya.patel9139@klu.edu.in,9891902021,64.81,LHTPP0039H
KLU00040,Kiran Rao,Male,M.Sc Data Science,PG,1,kiran.rao9140@klu.edu.in,9830474127,89.61,JTYPR0040N
KLU00041,Nikhil Malhotra,Female,M.Sc Data Science,PG,1,nikhil.malhotra9141@klu.edu.in,9868509943,86.46,OUOPM0041N
KLU00042,Vikram Yadav,Male,M.Sc Data Science,PG,1,vikram.yadav9142@klu.edu.in,9864296155,80.55,CUDPY0042U
KLU00043,Divya Jain,Male,M.Sc Data Science,PG,1,divya.jain9143@klu.edu.in,9856163637,73.48,OBDPJ0043R
KLU00044,Nikhil Mishra,Female,M.Sc Data Science,PG,1,nikhil.mishra9144@klu.edu.in,9861981861,96.89,NJMPM0044B
KLU00045,Kavya Rao,Female,M.Sc Data Science,PG,1,kavya.rao9145@klu.edu.in,9824668848,95.22,LBEPR0045W
KLU00046,Ritika Bhat,Male,M.Sc Data Science,PG,1,ritika.bhat9146@klu.edu.in,9863200822,77.52,CQBPB0046D
KLU00047,Vinay Shetty,Male,M.Sc Data Science,PG,1,vinay.shetty9147@klu.edu.in,9812409060,99.72,IXHPS0047V
KLU00048,Vinay Gupta,Female,M.Sc Data Science,PG,1,vinay.gupta9148@klu.edu.in,9874240749,71.3,SCTPG0048R
KLU00049,Ritika Jain,Male,M.Sc Data Science,PG,1,ritika.jain9149@klu.edu.in,9884000585,80.87,BBEPJ0049Q
KLU00050,Pooja Bose,Female,M.Sc Data Science,PG,1,pooja.bose9150@klu.edu.in,9857305779,84.43,REEPB0050C
KLU00051,Rahul Chopra,Female,M.Sc Data Science,PG,1,rahul.chopra9151@klu.edu.in,9879131266,71.23,IWYPC0051L
KLU00052,Kiran Sharma,Male,M.Sc Data Science,PG,1,kiran.sharma9152@klu.edu.in,9853794662,97.36,GWGPS0052Y
KLU00053,Vikram Iyer,Female,M.Sc Data Science,PG,1,vikram.iyer9153@klu.edu.in,9856703007,69.41,AMYPI0053Q
KLU00054,Aman Singh,Male,M.Sc Data Science,PG,1,aman.singh9154@klu.edu.in,9890606835,62.71,EGKPS0054G
KLU00055,Harika Verma,Male,M.Sc Data Science,PG,1,harika.verma9155@klu.edu.in,9853184749,69.12,FHUPV0055W
KLU00056,Kiran Bose,Female,M.Sc Data Science,PG,1,kiran.bose9156@klu.edu.in,9875235726,77.24,LPWPB0056D
KLU00057,Sameer Gupta,Male,M.Sc Data Science,PG,1,sameer.gupta9157@klu.edu.in,9878869280,86.15,QVSPG0057F
KLU00058,Ananya Mishra,Female,M.Sc Data Science,PG,1,ananya.mishra9158@klu.edu.in,9836499650,85.06,XVZPM0058F
KLU00059,Arjun Bose,Female,M.Sc Data Science,PG,1,arjun.bose9159@klu.edu.in,9880666486,85.14,VLSPB0059T
KLU00060,Rahul Bhat,Female,M.Sc Data Science,PG,1,rahul.bhat9160@klu.edu.in,9874410984,80.85,MBUPB0060W
KLU00061,Ritika Das,Female,M.Sc Data Science,PG,2,ritika.das9201@klu.edu.in,9835541526,91.04,TKWPD0061X
KLU00062,Harika Malhotra,Female,M.Sc Data Science,PG,2,harika.malhotra9202@klu.edu.in,9872997859,62.26,XHBPM0062D
KLU00063,Divya Malhotra,Male,M.Sc Data Science,PG,2,divya.malhotra9203@klu.edu.in,9870227096,82.62,XSUPM0063Q
KLU00064,Arjun Rao,Male,M.Sc Data Science,PG,2,arjun.rao9204@klu.edu.in,9821332510,91.55,HKIPR0064T
KLU00065,Meghana Kumar,Female,M.Sc Data Science,PG,2,meghana.kumar9205@klu.edu.in,9872294741,86.29,GEEPK0065X
KLU00066,Aman Das,Female,M.Sc Data Science,PG,2,aman.das9206@klu.edu.in,9827286187,69.42,GJNPD0066I
KLU00067,Nikhil Iyer,Male,M.Sc Data Science,PG,2,nikhil.iyer9207@klu.edu.in,9893238382,63.81,XQJPI0067L
KLU00068,Sameer Gupta,Female,M.Sc Data Science,PG,2,sameer.gupta9208@klu.edu.in,9855777402,60.39,AUXPG0068K
KLU00069,Yash Bose,Female,M.Sc Data Science,PG,2,yash.bose9209@klu.edu.in,9858892398,80.9,RWGPB0069P
KLU00070,Sameer Malhotra,Female,M.Sc Data Science,PG,2,sameer.malhotra9210@klu.edu.in,9889804189,82.59,MMOPM0070C
KLU00071,Vinay Bose,Male,M.Sc Data Science,PG,2,vinay.bose9211@klu.edu.in,9848989310,97.75,EWMPB0071O
KLU00072,Kiran Rao,Female,M.Sc Data Science,PG,2,kiran.rao9212@klu.edu.in,9834739735,97.16,DBQPR0072T
KLU00073,Divya Chopra,Male,M.Sc Data Science,PG,2,divya.chopra9213@klu.edu.in,9871386256,86.36,KTIPC0073Z
KLU00074,Kiran Jain,Male,M.Sc Data Science,PG,2,kiran.jain9214@klu.edu.in,9856777199,76.23,NOSPJ0074V
KLU00075,Ananya Gupta,Male,M.Sc Data Science,PG,2,ananya.gupta9215@klu.edu.in,9853283915,98.64,CJXPG0075V
KLU00076,Ananya Singh,Male,M.Sc Data Science,PG,2,ananya.singh9216@klu.edu.in,9884986045,79.48,FHKPS0076B
KLU00077,Ananya Kumar,Male,M.Sc Data Science,PG,2,ananya.kumar9217@klu.edu.in,9841490555,75.81,AAXPK0077S
KLU00078,Nikhil Singh,Female,M.Sc Data Science,PG,2,nikhil.singh9218@klu.edu.in,9894115710,89.85,DUDPS0078F
KLU00079,Sneha Iyer,Female,M.Sc Data Science,PG,2,sneha.iyer9219@klu.edu.in,9837984558,96.62,FDXPI0079T
KLU00080,Pooja Singh,Male,M.Sc Data Science,PG,2,pooja.singh9220@klu.edu.in,9889329662,95.78,TVSPS0080V
KLU00081,Sanjay Mishra,Female,M.Sc Data Science,PG,2,sanjay.mishra9221@klu.edu.in,9840799963,74.91,LRLPM0081U
KLU00082,Rahul Malhotra,Male,M.Sc Data Science,PG,2,rahul.malhotra9222@klu.edu.in,9820462147,83.04,TKYPM0082U
KLU00083,Ritika Bose,Male,M.Sc Data Science,PG,2,ritika.bose9223@klu.edu.in,9824675320,81.9,QUOPB0083B
KLU00084,Ritika Iyer,Female,M.Sc Data Science,PG,2,ritika.iyer9224@klu.edu.in,9845827088,73.02,ERNPI0084K
KLU00085,Ritika Reddy,Female,M.Sc Data Science,PG,2,ritika.reddy9225@klu.edu.in,9860300074,99.18,XYTPR0085U
KLU00086,Aman Sharma,Male,M.Sc Data Science,PG,2,aman.sharma9226@klu.edu.in,9814538317,90.88,WZTPS0086I
KLU00087,Kiran Sharma,Male,M.Sc Data Science,PG,2,kiran.sharma9227@klu.edu.in,9851535441,61.06,AUUPS0087K
KLU00088,Sameer Verma,Male,M.Sc Data Science,PG,2,sameer.verma9228@klu.edu.in,9841243307,68.85,NZTPV0088U
KLU00089,Nikhil Iyer,Female,M.Sc Data Science,PG,2,nikhil.iyer9229@klu.edu.in,9811429261,79.32,NVZPI0089V
KLU00090,Vinay Reddy,Male,M.Sc Data Science,PG,2,vinay.reddy9230@klu.edu.in,9842468771,67.08,BNLPR0090R
KLU00091,Ritika Das,Female,M.Sc Data Science,PG,2,ritika.das9231@klu.edu.in,9832999080,66.72,WZSPD0091B
KLU00092,Sameer Bose,Male,M.Sc Data Science,PG,2,sameer.bose9232@klu.edu.in,9883852000,96.19,ZGJPB0092I
KLU00093,Arjun Malhotra,Female,M.Sc Data Science,PG,2,arjun.malhotra9233@klu.edu.in,9877942234,74.73,DNZPM0093X
KLU00094,Harika Reddy,Male,M.Sc Data Science,PG,2,harika.reddy9234@klu.edu.in,9892431721,68.33,YOXPR0094E
KLU00095,Yash Rao,Female,M.Sc Data Science,PG,2,yash.rao9235@klu.edu.in,9879689593,68.87,HIJPR0095U
KLU00096,Sameer Naidu,Male,M.Sc Data Science,PG,2,sameer.naidu9236@klu.edu.in,9812438422,78.98,DHXPN0096P
KLU00097,Rahul Mishra,Male,M.Sc Data Science,PG,2,rahul.mishra9237@klu.edu.in,9835020081,71.56,CLHPM0097Z
KLU00098,Arjun Sharma,Female,M.Sc Data Science,PG,2,arjun.sharma9238@klu.edu.in,9834997910,99.22,TPUPS0098F
KLU00099,Meghana Singh,Male,M.Sc Data Science,PG,2,meghana.singh9239@klu.edu.in,9850424480,78.48,EQAPS0099E
KLU00100,Vikram Iyer,Female,M.Sc Data Science,PG,2,vikram.iyer9240@klu.edu.in,9894962283,66.91,JGOPI0100E
KLU00101,Sanjay Jain,Female,M.Sc Data Science,PG,2,sanjay.jain9241@klu.edu.in,9873712610,86.13,HTZPJ0101S
KLU00102,Sameer Malhotra,Male,M.Sc Data Science,PG,2,sameer.malhotra9242@klu.edu.in,9867428479,82.85,XGJPM0102A
KLU00103,Sameer Nair,Female,M.Sc Data Science,PG,2,sameer.nair9243@klu.edu.in,9866721183,92.57,VWUPN0103J
KLU00104,Divya Bose,Male,M.Sc Data Science,PG,2,divya.bose9244@klu.edu.in,9870764087,90.52,RQBPB0104K
KLU00105,Nikhil Kumar,Female,M.Sc Data Science,PG,2,nikhil.kumar9245@klu.edu.in,9843149868,75.92,GENPK0105H
KLU00106,Vikram Chopra,Male,M.Sc Data Science,PG,2,vikram.chopra9246@klu.edu.in,9837504839,93.63,UNZPC0106D
KLU00107,Sameer Gupta,Female,M.Sc Data Science,PG,2,sameer.gupta9247@klu.edu.in,9851794497,79.77,XTRPG0107K
KLU00108,Yash Iyer,Male,M.Sc Data Science,PG,2,yash.iyer9248@klu.edu.in,9885032108,91.86,BBVPI0108Z
KLU00109,Aman Naidu,Female,M.Sc Data Science,PG,2,aman.naidu9249@klu.edu.in,9835189040,85.01,BUGPN0109S
KLU00110,Aman Bhat,Male,M.Sc Data Science,PG,2,aman.bhat9250@klu.edu.in,9827254358,71.03,GCIPB0110Q
KLU00111,Meghana Naidu,Female,M.Sc Data Science,PG,2,meghana.naidu9251@klu.edu.in,9873625731,90.93,EQCPN0111C
KLU00112,Vikram Jain,Male,M.Sc Data Science,PG,2,vikram.jain9252@klu.edu.in,9869057017,65.7,CCVPJ0112E
KLU00113,Harika Sharma,Female,M.Sc Data Science,PG,2,harika.sharma9253@klu.edu.in,9849638275,67.42,ACNPS0113Q
KLU00114,Neha Gupta,Male,M.Sc Data Science,PG,2,neha.gupta9254@klu.edu.in,9844121120,82.04,NDKPG0114B
KLU00115,Harika Rao,Female,M.Sc Data Science,PG,2,harika.rao9255@klu.edu.in,9813472670,70.95,XFBPR0115O
