StudentID,Name,Gender,Department,Program,Year,Email,Phone,Attendance,student_password,PAN_CARD
SRM.1001,Harika Das,Female,M.Sc Data Science,PG,1,harika.das1001@srminstitute.edu.in,9880516031,71.55,Smartedu_1001,MKFPD0001N
SRM.1002,Vinay Gupta,Male,M.Sc Data Science,PG,1,vinay.gupta1002@srminstitute.edu.in,9884898522,89.74,Smartedu_1002,DIXPG0002Y
SRM.1003,Vikram Verma,Female,M.Sc Data Science,PG,1,vikram.verma1003@srminstitute.edu.in,9858402591,69.78,Smartedu_1003,XSHPV0003W
SRM.1004,Rahul Bose,Female,M.Sc Data Science,PG,1,rahul.bose1004@srminstitute.edu.in,9865063492,88.49,Smartedu_1004,ZQLPB0004P
SRM.1005,Vinay Sharma,Female,M.Sc Data Science,PG,1,vinay.sharma1005@srminstitute.edu.in,9877312184,96.19,Smartedu_1005,NRRPS0005K
SRM.1006,Neha Iyer,Male,M.Sc Data Science,PG,1,neha.iyer1006@srminstitute.edu.in,9848603601,90.13,Smartedu_1006,JAIPI0006B
SRM.1007,Harika Mishra,Female,M.Sc Data Science,PG,1,harika.mishra1007@srminstitute.edu.in,9861444429,98.01,Smartedu_1007,RBFPM0007O
SRM.1008,Sanjay Das,Female,M.Sc Data Science,PG,1,sanjay.das1008@srminstitute.edu.in,9856019566,92.86,Smartedu_1008,MPJPD0008K
SRM.1009,Divya Jain,Male,M.Sc Data Science,PG,1,divya.jain1009@srminstitute.edu.in,9812418883,70.39,Smartedu_1009,ONUPJ0009E
SRM.1010,Sameer Reddy,Male,M.Sc Data Science,PG,1,sameer.reddy1010@srminstitute.edu.in,9861519012,75.38,Smartedu_1010,GSUPR0010T
SRM.1011,Sneha Mishra,Male,M.Sc Data Science,PG,1,sneha.mishra1011@srminstitute.edu.in,9870876988,76.57,Smartedu_1011,IVXPM0011V
SRM.1012,Neha Bose,Male,M.Sc Data Science,PG,1,neha.bose1012@srminstitute.edu.in,9816285043,68.45,Smartedu_1012,OAIPB0012Z
SRM.1013,Ritika Gupta,Male,M.Sc Data Science,PG,1,ritika.gupta1013@srminstitute.edu.in,9894311229,72.39,Smartedu_1013,VDRPG0013S
SRM.1014,Sanjay Malhotra,Male,M.Sc Data Science,PG,1,sanjay.malhotra1014@srminstitute.edu.in,9844437309,63.51,Smartedu_1014,AJMPM0014Y
SRM.1015,Divya Kumar,Male,M.Sc Data Science,PG,1,divya.kumar1015@srminstitute.edu.in,9891832076,99.07,Smartedu_1015,BCWPK0015F
SRM.1016,Ananya Yadav,Male,M.Sc Data Science,PG,1,ananya.yadav1016@srminstitute.edu.in,9810433603,60.1,Smartedu_1016,ZQSPY0016Z
SRM.1017,Pooja Malhotra,Male,M.Sc Data Science,PG,1,pooja.malhotra1017@srminstitute.edu.in,9869598157,66.02,Smartedu_1017,OKQPM0017I
SRM.1018,Divya Das,Female,M.Sc Data Science,PG,1,divya.das1018@srminstitute.edu.in,9862810336,72.57,Smartedu_1018,YBKPD0018W
SRM.1019,Ravi Rao,Male,M.Sc Data Science,PG,1,ravi.rao1019@srminstitute.edu.in,9831764048,86.67,Smartedu_1019,WPYPR0019V
SRM.1020,Rahul Patel,Male,M.Sc Data Science,PG,1,rahul.patel1020@srminstitute.edu.in,9870514631,86.45,Smartedu_1020,UUPPP0020P
SRM.1021,Yash Das,Female,M.Sc Data Science,PG,1,yash.das1021@srminstitute.edu.in,9812279609,64.99,Smartedu_1021,RULPD0021J
SRM.1022,Vikram Iyer,Female,M.Sc Data Science,PG,1,vikram.iyer1022@srminstitute.edu.in,9883047741,89.62,Smartedu_1022,DUJPI0022K
SRM.1023,Rahul Rao,Female,M.Sc Data Science,PG,1,rahul.rao1023@srminstitute.edu.in,9874475336,97.39,Smartedu_1023,RLPPR0023Q
SRM.1024,Rahul Shetty,Female,M.Sc Data Science,PG,1,rahul.shetty1024@srminstitute.edu.in,9820591218,60.96,Smartedu_1024,BDLPS0024J
SRM.1025,Divya Bose,Male,M.Sc Data Science,PG,1,divya.bose1025@srminstitute.edu.in,9853066465,85.22,Smartedu_1025,LJUPB0025U
SRM.1026,Meghana Bose,Female,M.Sc Data Science,PG,1,meghana.bose1026@srminstitute.edu.in,9899444537,71.12,Smartedu_1026,LHYPB0026D
SRM.1027,Arjun Kumar,Female,M.Sc Data Science,PG,1,arjun.kumar1027@srminstitute.edu.in,9818949202,74.52,Smartedu_1027,LIFPK0027M
SRM.1028,Sneha Iyer,Male,M.Sc Data Science,PG,1,sneha.iyer1028@srminstitute.edu.in,9823276091,90.76,Smartedu_1028,INMPI0028Y
SRM.1029,Divya Rao,Female,M.Sc Data Science,PG,1,divya.rao1029@srminstitute.edu.in,9843682151,91.28,Smartedu_1029,BGTPR0029P
SRM.1030,Sameer Jain,Female,M.Sc Data Science,PG,1,sameer.jain1030@srminstitute.edu.in,9813418059,89.1,Smartedu_1030,UIIPJ0030D
SRM.1031,Ritika Bhat,Male,M.Sc Data Science,PG,1,ritika.bhat1031@srminstitute.edu.in,9832021203,97.79,Smartedu_1031,AUSPB0031T
SRM.1032,Yash Kumar,Female,M.Sc Data Science,PG,1,yash.kumar1032@srminstitute.edu.in,9892172647,80.88,Smartedu_1032,XBDPK0032V
SRM.1033,Nikhil Malhotra,Male,M.Sc Data Science,PG,1,nikhil.malhotra1033@srminstitute.edu.in,9892509994,97.48,Smartedu_1033,HMAPM0033J
SRM.1034,Yash Nair,Female,M.Sc Data Science,PG,1,yash.nair1034@srminstitute.edu.in,9858038373,67.92,Smartedu_1034,ZBWPN0034P
SRM.1035,Yash Reddy,Male,M.Sc Data Science,PG,1,yash.reddy1035@srminstitute.edu.in,9843328819,68.14,Smartedu_1035,BIRPR0035A
SRM.1036,Kiran Kumar,Female,M.Sc Data Science,PG,1,kiran.kumar1036@srminstitute.edu.in,9836312700,79.37,Smartedu_1036,ZLIPK0036Y
SRM.1037,Ravi Mishra,Female,M.Sc Data Science,PG,1,ravi.mishra1037@srminstitute.edu.in,9840191171,89.49,Smartedu_1037,IZIPM0037A
SRM.1038,Harika Das,Female,M.Sc Data Science,PG,1,harika.das1038@srminstitute.edu.in,9845199125,93.76,Smartedu_1038,WPTPD0038P
SRM.1039,Divya Patel,Male,M.Sc Data Science,PG,1,divya.patel1039@srminstitute.edu.in,9891902021,94.97,Smartedu_1039,AWRPP0039U
SRM.1040,Kiran Rao,Male,M.Sc Data Science,PG,1,kiran.rao1040@srminstitute.edu.in,9830474127,79.94,Smartedu_1040,AYWPR0040M
SRM.1041,Nikhil Malhotra,Female,M.Sc Data Science,PG,1,nikhil.malhotra1041@srminstitute.edu.in,9868509943,78.58,Smartedu_1041,IKWPM0041E
SRM.1042,Vikram Yadav,Male,M.Sc Data Science,PG,1,vikram.yadav1042@srminstitute.edu.in,9864296155,90.85,Smartedu_1042,GNPPY0042Y
SRM.1043,Divya Jain,Male,M.Sc Data Science,PG,1,divya.jain1043@srminstitute.edu.in,9856163637,60.78,Smartedu_1043,DMQPJ0043U
SRM.1044,Nikhil Mishra,Female,M.Sc Data Science,PG,1,nikhil.mishra1044@srminstitute.edu.in,9861981861,86.86,Smartedu_1044,WSCPM0044Z
SRM.1045,Kavya Rao,Female,M.Sc Data Science,PG,1,kavya.rao1045@srminstitute.edu.in,9824668848,73.5,Smartedu_1045,ZPTPR0045O
SRM.1046,Ritika Bhat,Male,M.Sc Data Science,PG,1,ritika.bhat1046@srminstitute.edu.in,9863200822,82.55,Smartedu_1046,IKBPB0046N
SRM.1047,Vinay Shetty,Male,M.Sc Data Science,PG,1,vinay.shetty1047@srminstitute.edu.in,9812409060,73.03,Smartedu_1047,WMIPS0047A
SRM.1048,Vinay Gupta,Female,M.Sc Data Science,PG,1,vinay.gupta1048@srminstitute.edu.in,9874240749,78.16,Smartedu_1048,TWCPG0048G
SRM.1049,Ritika Jain,Male,M.Sc Data Science,PG,1,ritika.jain1049@srminstitute.edu.in,9884000585,69.08,Smartedu_1049,WMVPJ0049H
SRM.1050,Pooja Bose,Female,M.Sc Data Science,PG,1,pooja.bose1050@srminstitute.edu.in,9857305779,80.77,Smartedu_1050,XKRPB0050V
SRM.1051,Rahul Chopra,Female,M.Sc Data Science,PG,1,rahul.chopra1051@srminstitute.edu.in,9879131266,72.0,Smartedu_1051,XDLPC0051Y
SRM.1052,Kiran Sharma,Male,M.Sc Data Science,PG,1,kiran.sharma1052@srminstitute.edu.in,9853794662,89.84,Smartedu_1052,HETPS0052I
SRM.1053,Vikram Iyer,Female,M.Sc Data Science,PG,1,vikram.iyer1053@srminstitute.edu.in,9856703007,99.92,Smartedu_1053,CUCPI0053H
SRM.1054,Aman Singh,Male,M.Sc Data Science,PG,1,aman.singh1054@srminstitute.edu.in,9890606835,89.84,Smartedu_1054,XVOPS0054N
SRM.1055,Harika Verma,Male,M.Sc Data Science,PG,1,harika.verma1055@srminstitute.edu.in,9853184749,99.63,Smartedu_1055,METPV0055U
SRM.1056,Kiran Bose,Female,M.Sc Data Science,PG,1,kiran.bose1056@srminstitute.edu.in,9875235726,63.39,Smartedu_1056,UUKPB0056L
SRM.1057,Sameer Gupta,Male,M.Sc Data Science,PG,1,sameer.gupta1057@srminstitute.edu.in,9878869280,63.27,Smartedu_1057,XTUPG0057T
SRM.1058,Ananya Mishra,Female,M.Sc Data Science,PG,1,ananya.mishra1058@srminstitute.edu.in,9836499650,70.84,Smartedu_1058,DNMPM0058H
SRM.1059,Arjun Bose,Female,M.Sc Data Science,PG,1,arjun.bose1059@srminstitute.edu.in,9880666486,74.72,Smartedu_1059,UOKPB0059Z
SRM.1060,Rahul Bhat,Female,M.Sc Data Science,PG,1,rahul.bhat1060@srminstitute.edu.in,9874410984,90.8,Smartedu_1060,IBUPB0060R
SRM.1061,Ritika Das,Female,M.Sc Data Science,PG,2,ritika.das1061@srminstitute.edu.in,9835541526,95.11,Smartedu_1061,MAZPD0061D
